gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,0,0.3098591549295775,1,0,0.36000000000000004,0.13881837064389568,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0.014084507042253521,1,1,0.37000000000000005,0.010385414262635588,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0.5492957746478874,0,0,0.18,0.1573967228248327,0,0,0,0,1,0,1,0,0,1,0,1,0,0
1,1,1,0,0.014084507042253521,1,0,0.6100000000000001,0.017770597738287562,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0.014084507042253521,1,1,0.6799999999999999,0.016962843295638123,1,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0.6338028169014085,1,0,0.78,0.5055388876067389,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0.5774647887323944,0,1,0.36000000000000004,0.2688668359104547,0,0,0,1,1,1,1,0,1,1,0,0,1,0
0,0,0,0,0.02816901408450704,1,1,0.020000000000000018,0.006692822524809601,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0.943661971830986,1,1,0.9600000000000002,0.9036464343411031,1,1,0,1,1,1,1,1,1,0,1,0,0,0
1,0,1,0,0.6338028169014085,0,0,0.27,0.23586429725363492,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1,0,1,1,0.04225352112676056,1,0,0.6200000000000001,0.03277175167320563,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0.2112676056338028,1,1,0.53,0.13777982921763213,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,0,0,0,0.8591549295774649,1,1,0.6200000000000001,0.5726978998384491,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0.0,1,1,0.6200000000000001,0.00715439649203785,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0.19718309859154928,1,0,0.77,0.16535887375951996,1,1,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,0.23943661971830985,1,0,0.39000000000000007,0.11216247403646436,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0.0,1,0,0.27,0.0031156242787906763,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0.04225352112676056,1,1,0.6599999999999999,0.03946457419801523,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0.26760563380281693,1,1,0.6699999999999999,0.19801523194091855,1,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,1,0.647887323943662,1,0,0.020000000000000018,0.11481652434802678,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0.0,1,1,0.6699999999999999,0.007731363951073159,1,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0.47887323943661975,1,0,0.5700000000000001,0.30210016155088854,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0.33802816901408456,1,1,0.36000000000000004,0.1440110777752135,0,0,0,0,1,0,1,0,0,1,0,1,0,0
1,0,0,0,0.22535211267605634,1,0,0.06,0.05273482575582737,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0.0,1,0,0.020000000000000018,0.00023078698361412436,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0.16901408450704225,1,1,0.52,0.10362335564274176,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,0.16901408450704225,1,1,0.5800000000000001,0.1111239326102008,1,0,0,1,1,0,1,1,0,0,0,0,1,0
0,0,0,0,0.014084507042253521,1,1,0.28,0.007962150934687284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0.9859154929577465,1,1,0.8600000000000001,0.8389106854373414,0,1,0,1,1,1,0,1,1,1,0,0,0,0
1,0,0,0,0.9859154929577465,1,0,0.5900000000000001,0.6383567966766674,0,0,0,1,1,1,1,1,0,0,1,1,0,0
1,0,1,0,0.7323943661971831,1,1,0.9300000000000002,0.6682437110546965,1,1,0,0,1,1,1,1,1,1,0,0,0,0
0,0,1,0,0.9154929577464789,1,0,0.9700000000000002,0.9143780290791599,1,1,0,1,1,1,1,1,1,1,0,0,0,0
1,0,1,1,0.11267605633802817,1,1,0.5700000000000001,0.07258250634664205,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,0.14084507042253522,1,1,0.77,0.11297022847911378,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0.647887323943662,1,0,0.07,0.1293561043157166,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0.0,1,1,0.5700000000000001,0.006577429033002539,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0.09859154929577466,1,0,0.06,0.021347795984306486,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,0.8732394366197184,1,1,0.8900000000000001,0.7910223863374105,1,1,0,0,1,1,0,1,1,1,0,0,1,0
0,0,1,1,0.943661971830986,1,0,0.8700000000000001,0.8428340641587815,0,1,0,0,1,1,1,1,1,1,0,1,0,0
0,0,0,0,0.23943661971830985,1,0,0.020000000000000018,0.04419570736210478,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0.22535211267605634,0,0,0.36000000000000004,0.10570043849526888,0,0,0,0,0,1,1,1,1,1,0,0,1,0
0,0,1,1,0.647887323943662,1,1,0.81,0.5459266097392107,1,1,0,0,1,0,0,1,1,0,0,0,1,0
1,0,1,0,0.25352112676056343,1,1,0.41,0.12831756288945304,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,1,1,0.23943661971830985,1,1,0.36000000000000004,0.10835448880683131,0,0,0,0,0,1,1,0,0,1,0,1,0,0
0,0,0,0,0.3943661971830986,1,1,0.010000000000000009,0.0639279944611124,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0.35211267605633806,1,1,0.6599999999999999,0.2611354719593815,1,1,0,0,0,1,1,0,0,0,0,0,0,1
0,0,1,1,0.19718309859154928,1,0,0.5700000000000001,0.13074082621740135,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0.0,1,0,0.37000000000000005,0.004269559196861297,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0.07042253521126761,1,1,0.69,0.05815831987075929,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,0,0.7464788732394366,1,1,0.8300000000000001,0.6179321486268174,1,1,0,0,1,0,0,1,1,1,0,1,0,0
1,0,1,0,0.014084507042253521,1,0,0.51,0.01488576044311101,0,0,0,0,0,1,0,1,1,0,0,1,0,0
0,0,0,1,0.0,1,1,0.020000000000000018,0.00023078698361412436,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0.22535211267605634,1,0,0.6300000000000001,0.1512808677590584,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0.014084507042253521,1,1,0.36000000000000004,0.007962150934687284,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0.0,1,1,0.6100000000000001,0.007039003000230788,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,0.6056338028169015,0,1,0.12,0.15474267251327026,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0.619718309859155,1,1,0.8500000000000001,0.5456958227555966,1,1,0,0,0,1,1,1,1,0,0,0,0,0
0,0,0,0,0.15492957746478872,0,1,0.32,0.06773597969074545,0,0,0,1,1,0,1,1,0,0,0,0,0,0
